Model,Model_Type,Question_ID,Complexity,Bytes_Processed_MB,Slot_Seconds,Execution_Time_S,Bytes_Shuffled_B,Bytes_Spilled_B,Correct,Cost_USD
GPT-5.1,Standard,S6,Simple,2070,66,0.819,163980,0,Y,0.0129
GPT-5.1,Standard,S7,Simple,259.58,10,0.628,1060,0,Y,0.0016
GPT-5.1,Standard,S8,Simple,16020,364,4,149620,0,Y,0.1001
GPT-5.1,Standard,S9,Simple,0,1,0.409,180,0,Y,0.0000
GPT-5.1,Standard,S10,Simple,34620,2564,13,67670000000,0,Y,0.2164
GPT-5.1,Standard,M1,Medium,546.39,66,1,784570000,0,Y,0.0034
GPT-5.1,Standard,M2,Medium,36340,3840,9,0,0,N,0.2271
GPT-5.1,Standard,M3,Medium,1250,32,2,451530000,0,Y,0.0078
GPT-5.1,Standard,M4,Medium,351.26,7,0.625,270,0,Y,0.0022
GPT-5.1,Standard,M5,Medium,2030,162,1,3180000000,0,Y,0.0127
GPT-5.1,Standard,M6,Medium,890.66,89,6,1250000000,0,Y,0.0056
GPT-5.1,Standard,M7,Medium,36640,258,5,270140000,0,Y,0.2290
GPT-5.1,Standard,M8,Medium,29430,538,3,752020,0,Y,0.1839
GPT-5.1,Standard,M9,Medium,1350,111,7,1640000000,0,Y,0.0084
GPT-5.1,Standard,M10,Medium,351.26,6,1,254340,0,Y,0.0022
GPT-5.1,Standard,C1,Complex,1550,929,14,1704000000,0,Y,0.0097
GPT-5.1,Standard,C2,Complex,1380,103,3,2010000000,0,Y,0.0086
GPT-5.1,Standard,C3,Complex,3330,259,9,6680000000,0,Y,0.0208
GPT-5.1,Standard,C4,Complex,175.63,12,1,6000,0,Y,0.0011
GPT-5.1,Standard,C5,Complex,1460,111,1,2210000000,0,Y,0.0091
GPT-5.1,Standard,C6,Complex,2820,172,28,3670000000,0,Y,0.0176
GPT-5.1,Standard,C7,Complex,1990,146,3,2480000000,0,Y,0.0124
GPT-5.1,Standard,C8,Complex,351.26,4,0.454,540,0,Y,0.0022
GPT-5.1,Standard,C9,Complex,1630,298,3,2980000000,0,Y,0.0102
GPT-5.1,Standard,C10,Complex,2150,188,4,5230000000,0,Y,0.0134
GPT-5.2 High Reasoning,Reasoning,S1,Simple,175.63,1.46,0.395,9,0,Y,0.0011
